timestamp_utc,source,run_id,session_id,step,user_step,user_type,item_id,topic_id,topic_name,vibe_id,vibe_style,cluster_id,headline,reward,regret,epsilon,decision,pred_score,listen_ms,total_ms,liked,shared,rewinded,fast_skip,finished,interest
2026-02-12T10:44:51.110478+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,1,1,unknown_live,9669,2805,source_thekanal,5,Hype Beast,13,Workplace Harassment Allegations Surface After ICICI Bank Meeting Recording Leak - Thekanal,5.508799999999999,,,skip,0.8896828889846802,8443.0,10000.0,False,False,False,False,False,0.8442999999999999
2026-02-12T10:44:51.114167+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,2,2,unknown_live,1789,0,dailymail.co.uk,5,Hype Beast,21,"I'm a 24-year-old fashion expert and my mum is 60. These are the 12 most flattering, youth-boosting high street trench coats my mum and I both love",5.8512,,,skip,0.8895338773727417,8657.0,10000.0,True,False,False,False,False,0.8657
2026-02-12T10:44:51.117453+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,3,3,unknown_live,6014,163,source_south_china_morning_post,5,Hype Beast,31,Chinese breakthrough challenges Elon Musk’s verdict on paralysed patients - South China Morning Post,10.0,,,auto,0.8882872462272644,9925.0,10000.0,True,True,True,False,True,0.9925
2026-02-12T10:44:51.121295+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,4,4,unknown_live,15025,4260,source_minnesota_women_s_press,5,Hype Beast,7,Minnesota Women’s Press Wins Five State Media Awards - Minnesota Women's Press,5.9056000000000015,,,skip,0.8927385807037354,8691.0,10000.0,True,False,False,False,False,0.8691000000000001
2026-02-12T10:44:51.125152+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,5,5,unknown_live,16312,35,gamespot.com,5,Hype Beast,45,StarCraft Shooter Reportedly In Works At Arc Raiders Publisher,5.1568000000000005,,,skip,0.8928977251052856,8223.0,10000.0,False,False,False,False,False,0.8223
2026-02-12T10:44:51.128128+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,6,6,unknown_live,7840,952,source_itweb,5,Hype Beast,13,Meta unleashes AI power to boost SA’s creator economy - ITWeb,5.943999999999999,,,skip,0.8805749416351318,8715.0,10000.0,True,False,False,False,False,0.8714999999999999
2026-02-12T10:44:51.131286+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,7,7,unknown_live,9248,1579,source_scitechdaily,5,Hype Beast,16,Quantum Breakthrough: New Study Uncovers Hidden Behavior in Superconductors - SciTechDaily,10.0,,,auto,0.8921063542366028,9727.0,10000.0,True,True,True,False,True,0.9727
2026-02-12T10:44:51.134284+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,8,8,unknown_live,11976,3477,tsukuba.ac.jp,5,Hype Beast,30,Byzantine Solar Eclipse Records Illuminate Obscure History of Earth's Rotation | Research News - University of Tsukuba - tsukuba.ac.jp,6.0768,,,skip,0.8934535980224609,8798.0,10000.0,True,False,False,False,False,0.8798
2026-02-12T10:44:51.137873+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,9,9,unknown_live,6202,1758,source_venturebeat,0,Analytical Deep Dive,54,OpenCUA’s open source computer-use agents rival proprietary models from OpenAI and Anthropic - Venturebeat,2.3439999999999994,,,skip,0.8813051581382751,6465.0,10000.0,False,False,False,False,False,0.6465
2026-02-12T10:44:51.140943+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,10,10,unknown_live,2676,430,source_zero_waste_europe,5,Hype Beast,32,"Reformed EPR can boost EU competitiveness and strategic autonomy, study reveals - Zero Waste Europe",10.0,,,auto,0.8941542506217957,9064.0,10000.0,True,False,True,False,False,0.9064
2026-02-12T10:44:51.144101+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,11,11,unknown_live,9915,2886,source_tech_xplore,0,Analytical Deep Dive,12,"Have you given away secrets on ChatGPT? Be careful about giving away proprietary details, cautions a professor - Tech Xplore",3.1072000000000006,,,skip,0.876764714717865,6942.0,10000.0,False,False,False,False,False,0.6942
2026-02-12T10:44:51.147182+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,12,12,unknown_live,6096,1711,source_hothardware,5,Hype Beast,5,Synchron's Brain Implant Breakthrough Lets Users Control iPhones And iPads With Their Mind - HotHardware,10.0,,,auto,0.8875752091407776,9205.0,10000.0,True,False,True,False,False,0.9205
2026-02-12T10:44:51.149876+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,13,13,unknown_live,5750,1631,da.gov.ph,5,Hype Beast,21,Biotech breakthroughs in agri deemed vital for food security - da.gov.ph,10.0,,,auto,0.890266478061676,9181.0,10000.0,True,False,True,False,False,0.9180999999999999
2026-02-12T10:44:51.155082+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,14,14,unknown_live,5825,98,source_myjoyonline,5,Hype Beast,61,Ghana records 4.7 tonnes per hectare in wheat breakthrough led by Dr Felix Frimpong - MyJoyOnline,10.0,,,auto,0.8811801075935364,9875.0,10000.0,True,True,True,False,True,0.9875
2026-02-12T10:44:51.158456+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,15,15,unknown_live,6433,298,source_csiro,5,Hype Beast,36,Vehicle-to-Grid breakthrough earns ENA Industry Innovation Award - CSIRO,10.0,,,auto,0.8737532496452332,9474.0,10000.0,True,False,True,False,False,0.9474
2026-02-12T10:44:51.161694+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,16,16,unknown_live,16267,0,dailymail.co.uk,0,Analytical Deep Dive,9,Apple is rumoured to be launching a brand new iPhone 'imminently' - here's what we expect to see,10.0,,,auto,0.8946237564086914,9735.0,10000.0,True,True,True,False,True,0.9734999999999999
2026-02-12T10:44:51.164712+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,17,17,unknown_live,6194,1781,source_mashable,0,Analytical Deep Dive,18,OpenAI launches 'deep research' AI agent for ChatGPT - Mashable,1.9648000000000003,,,skip,0.8853501677513123,6228.0,10000.0,False,False,False,False,False,0.6228
2026-02-12T10:44:51.167544+00:00,live_app,,c717f4d3-3b31-449d-a4cf-4f2aefbbd48c,18,18,unknown_live,6924,1942,source_pc_gamer,0,Analytical Deep Dive,38,Apparently the most popular clip on OpenAI's new AI video app Sora depicts Sam Altman stealing graphics cards - PC Gamer,5.559999999999999,,,skip,0.8802119493484497,8475.0,10000.0,False,False,False,False,False,0.8474999999999999
